scene_id,acquisition_date,season_year,season_day,week_index,cloud_cover,valid_pixel_fraction,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_valid_pixels,evi_mean,evi_median,evi_p25,evi_p75,evi_valid_pixels,ndre_mean,ndre_median,ndre_p25,ndre_p75,ndre_valid_pixels
S2B_MSIL2A_20230404T052649_R105_T43QCB_20240825T171646,2023-04-04 05:26:49.024000+00:00,2023,3,0,0.00076,1.0,0.23218774795532227,0.20687448978424072,0.14207211136817932,0.3089061975479126,22200,0.23423942923545837,0.2007162868976593,0.13245081901550293,0.3111388683319092,22200,0.15786156058311462,0.1351338028907776,0.08730655908584595,0.213781476020813,22200
S2B_MSIL2A_20230404T052649_R105_T43QCB_20230404T163046,2023-04-04 05:26:49.024000+00:00,2023,3,0,0.000973,1.0,0.23224394023418427,0.2068094164133072,0.14216609299182892,0.3091515898704529,22200,0.23437610268592834,0.20066547393798828,0.1323501169681549,0.3121735155582428,22200,0.15783639252185822,0.1353767365217209,0.08726607263088226,0.2137197107076645,22200
S2A_MSIL2A_20230409T052651_R105_T43QCB_20240824T233200,2023-04-09 05:26:51.024000+00:00,2023,8,1,16.709615,0.6859459459459459,0.24018006026744843,0.213997483253479,0.14219032227993011,0.32475003600120544,15228,0.23157097399234772,0.19658249616622925,0.1206212043762207,0.3161366581916809,15228,0.1564359813928604,0.1313629448413849,0.08070740103721619,0.2174557000398636,15228
S2A_MSIL2A_20230409T052651_R105_T43QCB_20230409T112743,2023-04-09 05:26:51.024000+00:00,2023,8,1,16.738375,0.6874324324324325,0.23946495354175568,0.21309368312358856,0.14208191633224487,0.3244325816631317,15261,0.23157154023647308,0.19657684862613678,0.12099383771419525,0.3160766065120697,15261,0.15592741966247559,0.1310344785451889,0.08043523877859116,0.21637839078903198,15261
S2B_MSIL2A_20230414T052649_R105_T43QCB_20240829T230614,2023-04-14 05:26:49.024000+00:00,2023,13,1,56.731707,0.32328828828828826,0.2399732619524002,0.1934097558259964,0.13345302641391754,0.3210810720920563,7177,0.20377561450004578,0.14839816093444824,0.09952925890684128,0.2725348472595215,7177,0.15701919794082642,0.11848703771829605,0.07608252018690109,0.21276938915252686,7177
S2B_MSIL2A_20230414T052649_R105_T43QCB_20230414T105038,2023-04-14 05:26:49.024000+00:00,2023,13,1,56.727111,0.3214864864864865,0.22421319782733917,0.18195749819278717,0.13092978298664093,0.2928524315357208,7137,0.20514599978923798,0.1530398428440094,0.10692612826824188,0.2692089080810547,7137,0.14843028783798218,0.11304350197315216,0.07677634805440903,0.19713261723518372,7137
S2A_MSIL2A_20230419T052641_R105_T43QCB_20240831T013808,2023-04-19 05:26:41.025000+00:00,2023,18,2,0.165407,1.0,0.23494373261928558,0.20839573442935944,0.13632526993751526,0.32035213708877563,22200,0.22694812715053558,0.19325576722621918,0.11859836429357529,0.3109634518623352,22200,0.1563919484615326,0.1310874968767166,0.0792003646492958,0.21983227133750916,22200
S2A_MSIL2A_20230419T052641_R105_T43QCB_20230419T123312,2023-04-19 05:26:41.025000+00:00,2023,18,2,0.165406,1.0,0.23435144126415253,0.2080565243959427,0.13596652448177338,0.31995201110839844,22200,0.22694876790046692,0.19314157962799072,0.1187552958726883,0.3112166225910187,22200,0.1560325026512146,0.13101089000701904,0.07885746657848358,0.21921224892139435,22200
S2B_MSIL2A_20230424T052649_R105_T43QCB_20240831T130916,2023-04-24 05:26:49.024000+00:00,2023,23,3,30.287075,1.0,0.23045040667057037,0.203929603099823,0.13971267640590668,0.3094184994697571,22200,0.24280329048633575,0.2082945704460144,0.1339533030986786,0.32923200726509094,22200,0.16045042872428894,0.13608196377754211,0.08827879279851913,0.22041046619415283,22200
S2B_MSIL2A_20230424T052649_R105_T43QCB_20230424T200705,2023-04-24 05:26:49.024000+00:00,2023,23,3,30.3186,1.0,0.23205742239952087,0.20546427369117737,0.13986235857009888,0.3127897381782532,22200,0.24321866035461426,0.2081303596496582,0.13323277235031128,0.3308577537536621,22200,0.1612374484539032,0.13664686679840088,0.0880754366517067,0.2219131886959076,22200
S2A_MSIL2A_20230429T052651_R105_T43QCB_20240901T153210,2023-04-29 05:26:51.024000+00:00,2023,28,4,68.176401,0.23765765765765764,0.22760498523712158,0.20914064347743988,0.14261490106582642,0.2989155650138855,5276,0.373317688703537,0.281719446182251,0.1789294183254242,0.4197891652584076,5276,0.1520264744758606,0.13663488626480103,0.08671444654464722,0.20650984346866608,5276
S2A_MSIL2A_20230429T052651_R105_T43QCB_20230429T103020,2023-04-29 05:26:51.024000+00:00,2023,28,4,68.162644,0.23797297297297298,0.21291257441043854,0.19631794095039368,0.13999643921852112,0.2737738788127899,5283,0.29850661754608154,0.26669779419898987,0.17906564474105835,0.3860185742378235,5283,0.14158791303634644,0.12761257588863373,0.08424510806798935,0.18893671035766602,5283
S2B_MSIL2A_20230504T052649_R105_T43QCB_20230504T140830,2023-05-04 05:26:49.024000+00:00,2023,33,4,21.003407,0.6737387387387387,0.2517578601837158,0.23462943732738495,0.14479315280914307,0.34799066185951233,14957,0.2874286472797394,0.2576679289340973,0.1518409252166748,0.4018510580062866,14957,0.17109178006649017,0.15463078022003174,0.08534826338291168,0.24370242655277252,14957
S2B_MSIL2A_20230504T052649_R105_T43QCB_20240907T235754,2023-05-04 05:26:49.024000+00:00,2023,33,4,21.002828,0.675045045045045,0.25463035702705383,0.23686519265174866,0.14497055113315582,0.3552854359149933,14986,0.2928108870983124,0.25875765085220337,0.14912906289100647,0.4049499034881592,14986,0.17296120524406433,0.155717134475708,0.0852113738656044,0.24921730160713196,14986
S2A_MSIL2A_20230519T052651_R105_T43QCB_20230519T113112,2023-05-19 05:26:51.024000+00:00,2023,48,6,0.001797,1.0,0.23549628257751465,0.20918208360671997,0.13074734807014465,0.33008116483688354,22200,0.23997531831264496,0.20457389950752258,0.12045951187610626,0.33904072642326355,22200,0.15692825615406036,0.13286176323890686,0.0749356672167778,0.2275640070438385,22200
S2B_MSIL2A_20230524T052649_R105_T43QCB_20240906T032827,2023-05-24 05:26:49.024000+00:00,2023,53,7,2.864956,1.0,0.2338060885667801,0.20731410384178162,0.1309274584054947,0.3251006603240967,22200,0.24389362335205078,0.20758917927742004,0.12343575805425644,0.34231501817703247,22200,0.15736106038093567,0.1331297755241394,0.07544592022895813,0.22579078376293182,22200
S2B_MSIL2A_20230524T052649_R105_T43QCB_20230524T102626,2023-05-24 05:26:49.024000+00:00,2023,53,7,2.873982,1.0,0.23385973274707794,0.20738399028778076,0.13090869784355164,0.32487043738365173,22200,0.24401076138019562,0.2075149416923523,0.12359538674354553,0.3427571654319763,22200,0.15733297169208527,0.13316738605499268,0.07534821331501007,0.22577784955501556,22200
S2A_MSIL2A_20230529T052651_R105_T43QCB_20240907T033552,2023-05-29 05:26:51.024000+00:00,2023,58,8,0.01385,1.0,0.2295747995376587,0.19948458671569824,0.12287119030952454,0.32475340366363525,22200,0.2320018708705902,0.19309979677200317,0.11223156005144119,0.3304932117462158,22200,0.1502295583486557,0.1232166439294815,0.0671851634979248,0.21955594420433044,22200
S2A_MSIL2A_20230529T052651_R105_T43QCB_20230529T112318,2023-05-29 05:26:51.024000+00:00,2023,58,8,0.014091,1.0,0.22925908863544464,0.19955193996429443,0.12277798354625702,0.32413727045059204,22200,0.23211868107318878,0.19360768795013428,0.11262843012809753,0.3301616311073303,22200,0.1499827802181244,0.12328772991895676,0.06712856143712997,0.2190246284008026,22200
S2B_MSIL2A_20230603T052649_R105_T43QCB_20240913T180827,2023-06-03 05:26:49.024000+00:00,2023,63,9,21.859601,0.9999549549549549,0.24624694883823395,0.21364851295948029,0.12497425079345703,0.35425424575805664,22199,0.24449898302555084,0.1998283863067627,0.10983394831418991,0.35418927669525146,22199,0.16552217304706573,0.13652484118938446,0.07136915624141693,0.24461960792541504,22199
