season_year,week_index,scene_count,valid_pixel_fraction,week_mid_date,evi_observation_count,evi,ndre_observation_count,ndre,ndvi_observation_count,ndvi,missing_data,evi_smooth,ndre_smooth,ndvi_smooth,ndvi_baseline_mean,ndvi_baseline_std,ndvi_baseline_count,ndvi_baseline_p25,ndvi_baseline_p75,ndvi_diff,ndvi_pct_diff,ndvi_zscore,ndvi_missing_data,ndvi_baseline_missing_data,ndvi_stress_component,evi_baseline_mean,evi_baseline_std,evi_baseline_count,evi_baseline_p25,evi_baseline_p75,evi_diff,evi_pct_diff,evi_zscore,evi_missing_data,evi_baseline_missing_data,evi_stress_component,ndre_baseline_mean,ndre_baseline_std,ndre_baseline_count,ndre_baseline_p25,ndre_baseline_p75,ndre_diff,ndre_pct_diff,ndre_zscore,ndre_missing_data,ndre_baseline_missing_data,ndre_stress_component,composite_stress_score,composite_pct_diff,composite_diff,negative_pct_diff,baseline_missing_data
2026,0,2,0.8210135135135135,2026-04-04,2,0.19340616464614868,2,0.134040929377079,2,0.21840322762727737,False,0.19795531406998634,0.1339535154402256,0.21427219733595848,0.20473690206805864,0.0009768745822800807,3,0.20434474758803844,0.20528402365744114,0.00953529526789984,4.657340797669254,0.31784317559666136,False,False,0.0,0.20394330223401388,0.015453470653145899,3,0.19664938002824783,0.2120401468127966,-0.005987988164027541,-2.936104347843034,-0.1995996054675847,False,False,0.1995996054675847,0.13246355516215166,0.0021547824557457125,3,0.13167587015777826,0.13369132578372955,0.0014899602780739374,1.1248077074860652,0.04966534260246458,False,False,0.0,0.06653320182252824,0.9486813857707617,0.0016790891273154123,0.0,False
2026,1,2,1.0,2026-04-11,2,0.202504463493824,2,0.1338661015033722,2,0.2101411670446396,False,0.19795531406998634,0.1339535154402256,0.21427219733595848,0.2021398867170016,0.006758472574547789,3,0.19978885352611542,0.20601238682866096,0.012132310618956893,6.00193797275759,0.4044103539652298,False,False,0.0,0.20499913891156515,0.011016586709064807,3,0.19999190419912338,0.21089937165379524,-0.007043824841578811,-3.436026550637101,-0.23479416138596038,False,False,0.23479416138596038,0.13151555011669794,0.004141809444867429,3,0.12933792546391487,0.13345999643206596,0.0024379653235276633,1.8537468165280675,0.08126551078425545,False,False,0.0,0.07826472046198679,1.4732194128828524,0.0025088170336352487,0.0,False
2026,2,0,,2026-04-18,0,,0,,0,,True,,,,0.20337808628877005,0.008401769900619294,3,0.19954591244459152,0.20786968618631363,,,,True,False,,0.19943580776453018,0.006939786378031015,3,0.19569797813892365,0.2025543749332428,,,,True,False,,0.13066582133372626,0.008035086371660753,3,0.12674755230545998,0.1347757764160633,,,,True,False,,,,,,False
2026,3,0,,2026-04-25,0,,0,,0,,True,,,,0.20443577071030936,0.008782233319288475,3,0.20131050795316696,0.2094562128186226,,,,True,False,,0.20692900568246841,0.008165992904017337,3,0.20320487394928932,0.21129486709833145,,,,True,False,,0.13261994471152624,0.008912667904600236,3,0.1294051632285118,0.1377069614827633,,,,True,False,,,,,,False
2026,4,0,,2026-05-02,0,,0,,0,,True,,,,0.20801769693692526,0.007000095717638857,3,0.20538105070590973,0.2119886428117752,,,,True,False,,0.2141214037934939,0.020575763521019738,3,0.20344705879688263,0.22397347167134285,,,,True,False,,0.13398687789837518,0.010502032343996466,3,0.13048100471496582,0.1400240659713745,,,,True,False,,,,,,False
2026,5,0,,2026-05-09,0,,0,,0,,True,,,,0.20592045783996582,0.006739913279619619,2,0.20353753864765167,0.20830337703227997,,,,True,False,,0.21208306401968002,0.0032444960085050057,2,0.21093596145510674,0.2132301665842533,,,,True,False,,0.13893966376781464,0.006401326572107352,2,0.13667645305395126,0.141202874481678,,,,True,False,,,,,,False
2026,6,0,,2026-05-16,0,,0,,0,,True,,,,0.20841597765684128,0.006739176679324728,3,0.20500941574573517,0.21174733340740204,,,,True,False,,0.22257275258501372,0.017610812151998948,3,0.21330451034009457,0.23082763887941837,,,,True,False,,0.13449386010567346,0.0046098645212066915,3,0.1319087315350771,0.13633464463055134,,,,True,False,,,,,,False
2026,7,0,,2026-05-23,0,,0,,0,,True,,,,0.2073490470647812,,1,0.2073490470647812,0.2073490470647812,,,,True,True,,0.20457389950752258,,1,0.20457389950752258,0.20457389950752258,,,,True,True,,0.13286176323890686,,1,0.13286176323890686,0.13286176323890686,,,,True,True,,,,,,True
2026,8,0,,2026-05-30,0,,0,,0,,True,,,,0.24652224282423654,0.06884068924713538,3,0.20682533830404282,0.2680668532848358,,,,True,False,,0.26487300793329877,0.09645308366315791,3,0.20969951525330544,0.29899531975388527,,,,True,False,,0.15828696017464003,0.04363917408196605,3,0.13325383700430393,0.17327363044023514,,,,True,False,,,,,,False
2026,9,0,,2026-06-06,0,,0,,0,,True,,,,0.2627171576023102,0.08937673339274742,2,0.23111771047115326,0.2943166047334671,,,,True,False,,0.28592418879270554,0.12628333778773645,2,0.24127628654241562,0.33057209104299545,,,,True,False,,0.16580269671976566,0.06017550803875114,2,0.1445274418219924,0.18707795161753893,,,,True,False,,,,,,False
